# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
翡翠台,http://o12.veryfast.filegear-sg.me/hls/fct/playlist.m3u8
翡翠台广电,http://cdn6.veryfast.filegear-sg.me/live/fct/stream.m3u8
翡翠台4K,http://cdn6.veryfast.filegear-sg.me/live/fct4k/stream.m3u8
无线新闻台,http://cdn6.veryfast.filegear-sg.me/live/wxxw/stream.m3u8
无线新闻台,http://v2h.veryfast.filegear-sg.me/live/wxxw/stream.m3u8
TVB PLUS,http://cdn6.veryfast.filegear-sg.me/live/tvbp/stream.m3u8
明珠台,http://o12.veryfast.filegear-sg.me/hls/mzt/playlist.m3u8
明珠台,http://cdn6.veryfast.filegear-sg.me/live/mzt/stream.m3u8
HOY 77,http://cdn6.veryfast.filegear-sg.me/live/hoy/stream.m3u8
HOY 77,http://cdn.veryfast.filegear-sg.me/live/hoy/stream.m3u8
HOY 78,https://tvbjack.946985.filegear-sg.me/ch78/jcakch78.m3u8
HOY剧集台,http://cdn.veryfast.filegear-sg.me/live/hoyjj/stream.m3u8
ViuTV,http://cdn.veryfast.filegear-sg.me/live/viu/stream.m3u8
NOW新闻台,http://cdn.veryfast.filegear-sg.me/live/now/stream.m3u8
RTHK31,http://cdn.veryfast.filegear-sg.me/live/rthk31/stream.m3u8
RTHK32,http://cdn.veryfast.filegear-sg.me/live/rthk32/stream.m3u8
澳视澳门,http://cdn6.veryfast.filegear-sg.me/live/asam/stream.m3u8
澳视卫星,http://cdn6.veryfast.filegear-sg.me/live/as/stream.m3u8
澳门体育,http://cdn6.veryfast.filegear-sg.me/live/amty/stream.m3u8
澳门综艺,http://cdn6.veryfast.filegear-sg.me/live/amzy/stream.m3u8
澳门莲花,http://cdn6.veryfast.filegear-sg.me/live/amlh/stream.m3u8
广东珠江,http://cdn2.veryfast.filegear-sg.me/live/gdzj/stream.m3u8
广东体育,http://cdn2.veryfast.filegear-sg.me/live/gdty/stream.m3u8
CCTV1,http://cdn6.veryfast.filegear-sg.me/live/cctv1/stream.m3u8
CCTV13,http://cdn3.veryfast.filegear-sg.me/live/cctv13/stream.m3u8
海峡卫视,http://cdn3.veryfast.filegear-sg.me/live/hxws/stream.m3u8
五星体育,http://cdn3.veryfast.filegear-sg.me/live/wxty/stream.m3u8
第一财经,http://cdn3.veryfast.filegear-sg.me/live/dycj/stream.m3u8
凤凰资讯,http://cdn6.veryfast.filegear-sg.me/live/fhzx/stream.m3u8
凤凰中文,http://cdn6.veryfast.filegear-sg.me/live/fhzw/stream.m3u8
凤凰香港,http://cdn6.veryfast.filegear-sg.me/live/fhhk/stream.m3u
龙华电影,http://cdn8.163189.xyz/163189/lhdy
龙华经典,http://cdn8.163189.xyz/163189/lhjd
龙华卡通,http://cdn8.163189.xyz/163189/lhkt
龙华偶像,http://cdn8.163189.xyz/163189/lhox
龙华日韩,http://cdn8.163189.xyz/163189/lhrh
龙华戏剧,http://cdn8.163189.xyz/163189/lhxj
龙华洋片,http://cdn8.veryfast.filegear-sg.me/163189/lhyp
TVB1,http://cdn6.veryfast.filegear-sg.me/live/tvb1/stream.m3u8
TVBJ1,http://cdn6.veryfast.filegear-sg.me/live/j1/stream.m3u8
重温经典,http://cdn6.veryfast.filegear-sg.me/live/cwjd/stream.m3u8
翡翠剧集台,http://cdn6.veryfast.filegear-sg.me/live/tvbd/stream.m3u8
华丽翡翠台,http://v2h.veryfast.filegear-sg.me/live/hlfct/stream.m3u8
TVB亚洲武侠,http://v2h.veryfast.filegear-sg.me/live/yzwx/stream.m3u8
TVB星河,http://cdn9.veryfast.filegear-sg.me/live/xinghe/stream.m3u8
TVB星河,http://v2h.veryfast.filegear-sg.me/live/tvbxh/stream.m3u8
TVB娱乐新闻台,http://v2h.veryfast.filegear-sg.me/live/ylxw/stream.m3u8
华丽翡翠台,http://cdn9.veryfast.filegear-sg.me/live/jade/stream.m3u8
天映频道,http://cdn9.veryfast.filegear-sg.me/live/typd/stream.m3u8
天映经典,http://cdn9.veryfast.filegear-sg.me/live/ccm/stream.m3u8
八度空间,http://cdn6.veryfast.filegear-sg.me/live/8tv/stream.m3u8
CH5,http://cdn6.veryfast.filegear-sg.me/live/ch5/stream.m3u8
CH8,http://cdn6.veryfast.filegear-sg.me/live/ch8/stream.m3u8
CHU,http://cdn6.veryfast.filegear-sg.me/live/chu/stream.m3u8
翡翠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=jade_twn
翡翠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=jade_xue
无线新闻台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=inews_twn
明珠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=pearl_twn
TVB PLUS_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=j2_twn
ViuTV_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=viu1_twn
ViuTVSix_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=viusix_twn
HOY资讯台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=hoycaijing_twn
TVB星河_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Xinhe
华丽翡翠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Tvbjade
